1737114121.780278 server started (20740): version 3.5a, socket /private/tmp/tmux-501/default, protocol 8
1737114121.780326 on Darwin 24.2.0 Darwin Kernel Version 24.2.0: Fri Dec  6 18:40:14 PST 2024; root:xnu-11215.61.5~2/RELEASE_ARM64_T8103
1737114121.780337 using libevent 2.1.12-stable select
1737114121.780349 using utf8proc 2.9.0
1737114121.780361 using ncurses 6.5 20240427
1737114121.780464 input_key_build: 0x10e003 (PasteStart) is \033[200~
1737114121.780475 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1737114121.780515 input_key_build: 0x10e195 (F1) is \033OP
1737114121.780524 input_key_build: 0x10e196 (F2) is \033OQ
1737114121.780531 input_key_build: 0x10e197 (F3) is \033OR
1737114121.780538 input_key_build: 0x10e198 (F4) is \033OS
1737114121.780544 input_key_build: 0x10e199 (F5) is \033[15~
1737114121.780551 input_key_build: 0x10e19a (F6) is \033[17~
1737114121.780558 input_key_build: 0x10e19b (F7) is \033[18~
1737114121.780564 input_key_build: 0x10e19c (F8) is \033[19~
1737114121.780571 input_key_build: 0x10e19d (F9) is \033[20~
1737114121.780578 input_key_build: 0x10e19e (F10) is \033[21~
1737114121.780585 input_key_build: 0x10e19f (F11) is \033[23~
1737114121.780591 input_key_build: 0x10e1a0 (F12) is \033[24~
1737114121.780598 input_key_build: 0x10e1a1 (IC) is \033[2~
1737114121.780604 input_key_build: 0x10e1a2 (DC) is \033[3~
1737114121.780611 input_key_build: 0x10e1a3 (Home) is \033[1~
1737114121.780618 input_key_build: 0x10e1a4 (End) is \033[4~
1737114121.780624 input_key_build: 0x10e1a5 (NPage) is \033[6~
1737114121.780631 input_key_build: 0x10e1a6 (PPage) is \033[5~
1737114121.780638 input_key_build: 0x10e1a7 (BTab) is \033[Z
1737114121.780646 input_key_build: 0x10e1a8 (Up) is \033[A
1737114121.780653 input_key_build: 0x10e1a9 (Down) is \033[B
1737114121.780659 input_key_build: 0x10e1aa (Left) is \033[D
1737114121.780666 input_key_build: 0x10e1ab (Right) is \033[C
1737114121.780672 input_key_build: 0x10e1ac (KP/) is /
1737114121.780679 input_key_build: 0x10e1ad (KP*) is *
1737114121.780685 input_key_build: 0x10e1ae (KP-) is -
1737114121.780692 input_key_build: 0x10e1af (KP7) is 7
1737114121.780698 input_key_build: 0x10e1b0 (KP8) is 8
1737114121.780705 input_key_build: 0x10e1b1 (KP9) is 9
1737114121.780712 input_key_build: 0x10e1b2 (KP+) is +
